COUNTRY_ID,PROJECT_ID
1,1
1,7
1,99
2,2
2,32
3,3
3,89
4,4
5,5
6,6
7,8
8,9
9,10
9,87
10,11
10,35
10,58
11,12
12,13
13,14
14,15
15,16
16,17
17,18
17,27
18,19
18,69
19,20
19,82
19,83
19,85
20,21
20,100
21,22
21,24
22,23
22,66
23,25
23,26
24,28
25,29
26,30
27,31
28,33
29,34
30,36
30,72
30,76
30,94
31,37
31,53
31,57
32,38
33,39
33,47
34,40
35,41
35,42
35,43
35,46
35,56
35,62
35,77
35,90
35,95
35,97
36,44
36,78
36,81
36,84
37,45
38,48
38,63
38,91
39,49
40,50
41,51
42,52
43,54
44,55
45,59
46,60
47,61
48,64
49,65
50,67
51,68
51,75
52,70
52,73
52,74
53,71
54,79
55,80
56,86
57,88
58,92
59,93
60,96
61,98
