LOAN_ID,STATUS,AMOUNT,APPROVAL_DATE
1,Active,55000000,2019-05-10 00:00:00
2,Active,4650000,2019-05-09 00:00:00
3,Active,33120000,2019-05-09 00:00:00
4,Active,38490000,2019-05-09 00:00:00
5,Active,2200000,2019-05-09 00:00:00
6,Active,70000000,2019-05-08 00:00:00
7,Active,0,2019-05-08 00:00:00
8,Active,15000000,2019-05-08 00:00:00
9,Active,0,2019-05-07 00:00:00
10,Active,100000000,2019-05-06 00:00:00
11,Active,0,2019-05-03 00:00:00
12,Active,0,2019-05-03 00:00:00
13,Active,6000000,2019-05-03 00:00:00
14,Active,200000000,2019-05-02 00:00:00
15,Active,0,2019-05-01 00:00:00
16,Active,30000000,2019-04-30 00:00:00
17,Active,60000000,2019-04-30 00:00:00
18,Active,100000000,2019-04-30 00:00:00
19,Active,250000000,2019-04-30 00:00:00
20,Active,100000000,2019-04-30 00:00:00
21,Active,0,2019-04-26 00:00:00
22,Active,25000000,2019-04-25 00:00:00
23,Active,5000000,2019-04-25 00:00:00
24,Active,10000000,2019-04-25 00:00:00
25,Active,52000000,2019-04-24 00:00:00
26,Active,50000000,2019-04-24 00:00:00
27,Active,100000000,2019-04-24 00:00:00
28,Active,90000000,2019-04-18 00:00:00
29,Active,101790000,2019-04-18 00:00:00
30,Active,150000000,2019-04-17 00:00:00
31,Active,150000000,2019-04-17 00:00:00
32,Active,10000000,2019-04-17 00:00:00
33,Active,200000000,2019-04-17 00:00:00
34,Active,200000000,2019-04-17 00:00:00
35,Active,0,2019-04-10 00:00:00
36,Active,0,2019-04-05 00:00:00
37,Active,100000000,2019-04-05 00:00:00
38,Active,0,2019-04-04 00:00:00
39,Active,15000000,2019-04-04 00:00:00
40,Active,350000000,2019-04-03 00:00:00
41,Active,400000000,2019-03-29 00:00:00
42,Active,250000000,2019-03-29 00:00:00
43,Active,150000000,2019-03-29 00:00:00
44,Active,100500000,2019-03-29 00:00:00
45,Active,20000000,2019-03-29 00:00:00
46,Active,400000000,2019-03-29 00:00:00
47,Active,55000000,2019-03-28 00:00:00
48,Active,82000000,2019-03-28 00:00:00
49,Active,51000000,2019-03-28 00:00:00
50,Active,400000000,2019-03-28 00:00:00
51,Active,0,2019-03-28 00:00:00
52,Active,143000000,2019-03-27 00:00:00
53,Active,100000000,2019-03-22 00:00:00
54,Active,29000000,2019-03-22 00:00:00
55,Active,40000000,2019-03-22 00:00:00
56,Active,0,2019-03-22 00:00:00
57,Active,200000000,2019-03-22 00:00:00
58,Active,350000000,2019-03-21 00:00:00
59,Active,24000000,2019-03-21 00:00:00
60,Active,200000000,2019-03-21 00:00:00
61,Active,50000000,2019-03-19 00:00:00
62,Active,287000000,2019-03-19 00:00:00
63,Active,90000000,2019-03-19 00:00:00
64,Active,40000000,2019-03-19 00:00:00
65,Active,17200000,2019-03-18 00:00:00
66,Active,50000000,2019-03-18 00:00:00
67,Active,450000000,2019-03-15 00:00:00
68,Active,0,2019-03-14 00:00:00
69,Active,0,2019-03-14 00:00:00
70,Active,27000000,2019-03-14 00:00:00
71,Active,100000000,2019-03-14 00:00:00
72,Active,70000000,2019-03-14 00:00:00
73,Active,25000000,2019-03-14 00:00:00
74,Active,20000000,2019-03-14 00:00:00
75,Active,90000000,2019-03-13 00:00:00
76,Active,125000000,2019-03-07 00:00:00
77,Active,31580000,2019-03-07 00:00:00
78,Active,165000000,2019-03-07 00:00:00
79,Active,18000000,2019-03-07 00:00:00
80,Active,0,2019-03-05 00:00:00
81,Active,156000000,2019-03-01 00:00:00
82,Active,150000000,2019-03-01 00:00:00
83,Active,52000000,2019-03-01 00:00:00
84,Active,100000000,2019-03-01 00:00:00
85,Active,90000000,2019-03-01 00:00:00
86,Active,58000000,2019-02-28 00:00:00
87,Active,65000000,2019-02-28 00:00:00
88,Active,126890000,2019-02-28 00:00:00
89,Active,13000000,2019-02-28 00:00:00
90,Active,137000000,2019-02-28 00:00:00
91,Active,0,2019-02-28 00:00:00
92,Active,105400000,2019-02-27 00:00:00
93,Active,120000000,2019-02-27 00:00:00
94,Active,25000000,2019-02-21 00:00:00
95,Active,96000000,2019-02-21 00:00:00
96,Active,50000000,2019-02-21 00:00:00
97,Active,25200000,2019-02-21 00:00:00
98,Active,200000000,2019-02-19 00:00:00
99,Active,700000000,2019-02-19 00:00:00
100,Active,0,2019-02-18 00:00:00
